id,name,r,g,b
0,road,128,64,128
1,building,70,70,70
2,wall,102,102,156
3,obstacle,190,153,153
4,traffic_light,250,170,30
5,traffic_sign,220,220,0
6,person,220,20,60
7,vehicle,0,0,142
8,bike,119,11,32
9,road,128,64,128
10,sidewalk,244,35,232
11,roadPaint,128,64,255
12,curbstone,196,196,196
13,crosswalk_others,255,0,0
14,vegetation,107,142,35
15,sky,70,130,180
