default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.233,-0.110,-0.407,-0.408,-0.409,-0.410,-0.420,-0.440,-0.573,-0.574,-0.575
0.100,0.341,0.224,0.080,-0.105,-0.266,-0.267,-0.268,-0.269,-0.270,-0.290,-0.291
0.200,0.342,0.341,0.225,0.048,-0.061,-0.062,-0.063,-0.064,-0.065,-0.066,-0.067
0.300,1.048,0.586,0.585,0.584,0.552,0.240,0.189,0.188,0.187,0.186,0.185
0.400,1.939,1.248,1.247,1.246,1.231,1.230,1.229,1.164,0.900,0.899,0.898
0.500,2.620,1.339,1.335,1.324,1.323,1.922,2.007,1.938,1.874,1.406,1.454
